count,millis,soil_adc
1,5721,3247
2,10728,3253
3,15734,3239
4,20740,3243
5,25746,3248
6,30752,3246
7,35758,3243
8,40764,3243
9,45770,3245
10,50776,3248
11,55782,3234
12,60788,3247
13,65794,3249
14,70800,3238
15,75806,3246
16,80812,3245
17,85818,3247
18,90824,3241
19,95830,3243
20,100836,3246
21,105842,3239
22,110848,3249
23,115854,3246
24,120860,3238
25,125866,3242
1,5708,3239
2,10714,3248
3,15720,3248
4,20726,3248
5,25732,3243
6,30738,3248
7,35744,3250
8,40750,3243
9,45756,3247
10,50764,3249
11,55770,3237
